P(topic 1),P(topic 2),P(topic 3)
0.0491492,0.90168434,0.04916645
0.05417317,0.8917073,0.05411951
0.05437507,0.89137334,0.054251626
0.10216283,0.7956842,0.10215304
0.061377786,0.8771257,0.061496507
0.102594264,0.29723895,0.60016674
0.06609612,0.8721165,0.061787385
0.0803288,0.83934844,0.08032278
0.05238432,0.8952832,0.05233248
0.056674097,0.8866593,0.05666658
0.05797772,0.88410115,0.05792113
0.072834305,0.8543691,0.07279654
0.05292863,0.89398223,0.05308915
0.05541723,0.8896003,0.0549825
0.0894212,0.8211616,0.0894172
0.05698126,0.88602346,0.056995317
0.065809034,0.8679691,0.066221856
0.08056042,0.83902025,0.08041932
0.06553076,0.8689469,0.06552235
0.05488718,0.89037913,0.05473368
0.04911925,0.9017717,0.04910905
0.061667614,0.8817732,0.056559145
0.05204798,0.8959674,0.051984634
0.0547912,0.89016896,0.055039797
0.06272746,0.87773997,0.059532646
0.101309985,0.79738307,0.101306945
0.051718634,0.8966541,0.051627226
0.056360945,0.88735765,0.056281485
0.07509234,0.8499005,0.075007156
0.058692355,0.8836744,0.057633225
0.050432116,0.89915264,0.05041528
0.05447031,0.89115083,0.05437887
0.06386928,0.87236553,0.063765235
0.058183834,0.8836253,0.058190756
0.07918007,0.8417746,0.07904527
0.056271322,0.88749784,0.056230843
0.05560236,0.88877195,0.055625677
0.09250488,0.81499165,0.09250349
0.06483552,0.8703544,0.06481006
0.16675673,0.66648775,0.16675551
0.050304834,0.89984906,0.049846113
0.056291234,0.8874974,0.0562114
0.5438691,0.39927492,0.05685601
0.05529603,0.8894835,0.05522047
0.054887693,0.89041114,0.05470117
0.06404493,0.8719921,0.063962996
0.09024843,0.8195125,0.0902391
0.077964954,0.8440855,0.07794955
0.3608846,0.56319046,0.07592494
0.05529934,0.8894527,0.05524796
0.07131298,0.8574391,0.07124797
0.052287728,0.89577425,0.051938016
0.09581854,0.8083904,0.09579104
0.069801785,0.86045545,0.06974275
0.056728855,0.89065707,0.052614134
0.051067695,0.897927,0.0510053
0.05554981,0.8889124,0.05553778
0.06323709,0.8735473,0.06321554
0.05233088,0.89549696,0.052172154
0.04508053,0.9096157,0.04530375
0.049327407,0.90118766,0.04948493
0.07631161,0.8474455,0.07624288
0.06143129,0.8771511,0.06141767
0.056257077,0.8875655,0.056177452
0.050875947,0.8982614,0.05086265
0.08853059,0.8230752,0.08839425
0.13895646,0.72208995,0.1389536
0.048481103,0.90303344,0.04848545
0.06569824,0.8688055,0.06549615
0.10249153,0.7952079,0.10230058
0.04944303,0.9011655,0.049391467
0.06881674,0.86236835,0.068814926
0.0710146,0.8579634,0.07102192
0.10695945,0.7861539,0.10688665
0.08928407,0.82143474,0.08928119
0.058530606,0.8827069,0.058762524
0.08146853,0.8370841,0.08144732
0.06031839,0.88032407,0.059357528
0.05122348,0.89763063,0.05114589
0.059003707,0.8819865,0.05900979
0.05651304,0.8870268,0.05646018
0.0659336,0.8681226,0.06594383
0.050595995,0.8988244,0.05057963
0.052190796,0.8956847,0.05212445
0.07431768,0.8514283,0.07425404
0.053716633,0.8925531,0.053730298
0.023785403,0.9524298,0.023784881
0.10747769,0.78497005,0.10755228
0.050553814,0.89889675,0.050549448
0.054951806,0.8901447,0.054903533
0.0555636,0.8890829,0.055353522
0.055175617,0.8896725,0.05515194
0.054221097,0.8915258,0.0542531
0.052732017,0.89456403,0.052704
0.06267235,0.87495106,0.06237666
0.10206926,0.79574,0.1021907
0.056050625,0.88812846,0.055820905
0.08037223,0.8392987,0.08032905
0.05350695,0.8929867,0.05350635
0.09780806,0.8043852,0.09780679
0.06180119,0.60472095,0.33347782
0.08323425,0.8335385,0.083227254
0.11064662,0.77859324,0.110760085
0.057080217,0.88590163,0.057018116
0.11633058,0.76734865,0.116320714
0.052320365,0.89536417,0.052315462
0.08156115,0.836993,0.08144596
0.09864642,0.80275893,0.09859459
0.054038405,0.8919888,0.05397281
0.056550156,0.8869324,0.05651741
0.053863294,0.8922843,0.05385244
0.057751644,0.884607,0.05764136
0.063282266,0.87303966,0.06367808
0.08501868,0.8301128,0.08486855
0.054493345,0.8912762,0.054230418
0.05441051,0.8915241,0.054065444
0.054665353,0.8906751,0.05465951
0.06719963,0.86571264,0.06708772
0.08285984,0.8343467,0.0827935
0.05702341,0.88588816,0.057088383
0.026435617,0.94713026,0.026434094
0.078782775,0.8431772,0.078040086
0.059497137,0.88102096,0.059481937
0.09570522,0.80841464,0.095880195
0.06125005,0.87783694,0.060912997
0.054564033,0.89111775,0.05431822
0.07706163,0.8458882,0.07705011
0.057139106,0.8910444,0.051816553
0.052434158,0.89516336,0.052402493
0.050007135,0.899905,0.050087817
0.061397742,0.87721354,0.06138864
0.05655579,0.8869747,0.056469534
0.08133913,0.8374788,0.08118207
0.07491253,0.8503794,0.07470801
0.10779651,0.78459036,0.107613124
0.05148717,0.89703965,0.051473163
0.08429557,0.83198154,0.08372284
0.055068977,0.88993686,0.054994147
0.055050932,0.8899327,0.055016384
0.052030798,0.896043,0.05192618
0.051853333,0.8963244,0.051822305
0.05127631,0.8974359,0.051287774
0.06572299,0.8686071,0.06566989
0.052963484,0.8941502,0.05288629
0.06415586,0.8719044,0.063939735
0.0795003,0.84103537,0.07946434
0.06634118,0.87887454,0.054784246
0.0818334,0.8365244,0.081642225
0.086004995,0.82801443,0.085980505
0.07128639,0.8572959,0.07141768
0.10929865,0.7810775,0.10962388
0.052917246,0.89421695,0.05286572
0.09752717,0.8049552,0.09751765
0.10226732,0.7954663,0.1022664
0.08791043,0.8243395,0.08775013
0.057937283,0.8840569,0.058005795
0.050926443,0.89817643,0.05089711
0.10552062,0.78895724,0.105522156
0.051542897,0.89692277,0.05153431
0.06061434,0.8788126,0.06057306
0.057595357,0.88484603,0.057558615
0.06356266,0.87285215,0.063585214
0.053187482,0.89365137,0.053161126
0.017815636,0.96482384,0.017360512
0.0577954,0.8844828,0.057721753
0.05314267,0.8937185,0.053138845
0.053710688,0.8925794,0.053709958
0.069415666,0.86119187,0.06939244
0.091595165,0.816954,0.09145084
0.08407572,0.83202577,0.08389852
0.092338905,0.8154779,0.092183135
0.047696512,0.89737415,0.05492937
0.06618121,0.8675915,0.066227295
0.05653211,0.88283473,0.060633153
0.049078718,0.9018652,0.049056083
0.071304634,0.85740864,0.07128673
0.10265585,0.61368567,0.28365853
0.1388446,0.7223085,0.13884689
0.0535203,0.89309937,0.053380333
0.059148144,0.8819107,0.058941174
0.07361312,0.85279065,0.073596254
0.05364619,0.8926737,0.053680193
0.08612851,0.82775044,0.08612102
0.063561134,0.8775051,0.058933802
0.056252904,0.88754165,0.05620544
0.064412564,0.871242,0.06434545
0.07523472,0.84954065,0.0752246
0.0497177,0.9005966,0.04968563
0.19832905,0.7431263,0.058544688
0.057409726,0.885168,0.05742229
0.048227765,0.9035611,0.048211116
0.07131714,0.85737216,0.07131067
0.05350471,0.8932083,0.05328699
0.0521338,0.89577067,0.052095607
0.052558154,0.89489293,0.05254896
0.050028693,0.89994997,0.050021302
0.09362554,0.8127527,0.0936217
0.05611083,0.88778335,0.056105856
0.046107057,0.9078016,0.046091303
0.052023727,0.8959963,0.05197997
0.049937554,0.90016353,0.04989893
0.054877207,0.8902659,0.054856952
0.052870777,0.8943077,0.05282151
0.05959534,0.8809654,0.05943922
0.0646578,0.87068987,0.064652316
0.11536238,0.76927906,0.11535853
0.049105886,0.9018345,0.049059633
0.0182017,0.9515933,0.030204983
0.0713873,0.8572486,0.071364135
0.052407864,0.8952043,0.05238783
0.07771511,0.84524524,0.077039674
0.058854338,0.88230085,0.05884477
0.05763844,0.8845736,0.057787992
0.06783131,0.8646968,0.0674719
0.04904331,0.901936,0.049020693
0.10447556,0.7909632,0.10456129
0.053083785,0.8938878,0.053028416
0.06479542,0.87051773,0.0646868
0.060535815,0.82944435,0.110019855
0.08963601,0.8207453,0.08961871
0.08630042,0.8273989,0.0863007
0.08596451,0.18462043,0.7294151
0.05408407,0.89198405,0.053931877
0.051952593,0.8961269,0.05192047
0.049755238,0.9005267,0.049718082
0.087090075,0.82588077,0.087029174
0.052957192,0.8929137,0.054129098
0.11074174,0.7786374,0.110620864
0.13856478,0.7228816,0.13855363
0.07067184,0.85871184,0.07061625
0.07779472,0.84443635,0.07776896
0.07384795,0.85237736,0.073774606
0.094276376,0.81144696,0.094276644
0.049284536,0.90144926,0.049266182
0.077500045,0.8450017,0.077498235
0.10499158,0.79002124,0.10498721
0.052146595,0.8957992,0.05205415
0.07899343,0.8421204,0.07888618
0.055669017,0.88875735,0.05557365
0.05330565,0.89245886,0.05423548
0.059547868,0.8810539,0.059398223
0.07897083,0.8421159,0.0789134
0.09429661,0.8114087,0.09429467
0.10472963,0.790577,0.10469342
0.09864129,0.802718,0.09864072
0.10873232,0.7825459,0.10872174
0.07947394,0.8411319,0.07939414
0.066137604,0.49960646,0.43425593
0.10972872,0.78054607,0.10972522
0.07933143,0.84133726,0.07933123
0.065110855,0.8698434,0.06504573
0.078737475,0.84252805,0.07873448
0.09851018,0.80317795,0.09831186
0.08453726,0.8309259,0.084536895
0.10233789,0.7953266,0.102335505
0.10448598,0.7910351,0.10447895
0.085661665,0.828803,0.08553535
0.053674597,0.89275306,0.053572282
0.052329276,0.89533854,0.052332208
0.06762995,0.8648781,0.06749193
0.059479274,0.881339,0.059181727
0.111713365,0.7765855,0.11170117
0.10097545,0.7980812,0.10094337
0.05743003,0.8851232,0.057446692
0.10891422,0.78215146,0.10893438
0.070546106,0.8590066,0.07044731
0.14041895,0.71923906,0.14034204
0.09998671,0.8000218,0.09999149
0.06188338,0.87635237,0.061764292
0.08036059,0.839202,0.080437385
0.049447294,0.90119195,0.049360838
0.09279564,0.8146204,0.09258401
0.11658235,0.76683193,0.116585754
